name,team,url,url_90d
artzin,MIBR,https://www.vlr.gg/player/5957/artzin?timespan=all,https://www.vlr.gg/player/5957/artzin?timespan=all/?timespan=90d
xenom,MIBR,https://www.vlr.gg/player/20240/xenom?timespan=all,https://www.vlr.gg/player/20240/xenom?timespan=all/?timespan=90d
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia?timespan=all,https://www.vlr.gg/player/5395/cortezia?timespan=all/?timespan=90d
nzr,MIBR,https://www.vlr.gg/player/725/nzr?timespan=all,https://www.vlr.gg/player/725/nzr?timespan=all/?timespan=90d
aspas,MIBR,https://www.vlr.gg/player/8480/aspas?timespan=all,https://www.vlr.gg/player/8480/aspas?timespan=all/?timespan=90d
chivitz,MIBR,https://www.vlr.gg/player/32311/chivitz?timespan=all,https://www.vlr.gg/player/32311/chivitz?timespan=all/?timespan=90d
SiuFatBB,Wolves Esports,https://www.vlr.gg/player/7849/siufatbb?timespan=all,https://www.vlr.gg/player/7849/siufatbb?timespan=all/?timespan=90d
V1yA,Wolves Esports,https://www.vlr.gg/player/45104/v1ya?timespan=all,https://www.vlr.gg/player/45104/v1ya?timespan=all/?timespan=90d
Yuicaw,Wolves Esports,https://www.vlr.gg/player/11218/yuicaw?timespan=all,https://www.vlr.gg/player/11218/yuicaw?timespan=all/?timespan=90d
Spring,Wolves Esports,https://www.vlr.gg/player/14125/spring?timespan=all,https://www.vlr.gg/player/14125/spring?timespan=all/?timespan=90d
Lysoar,Wolves Esports,https://www.vlr.gg/player/37489/lysoar?timespan=all,https://www.vlr.gg/player/37489/lysoar?timespan=all/?timespan=90d
Juicy,Wolves Esports,https://www.vlr.gg/player/7426/juicy?timespan=all,https://www.vlr.gg/player/7426/juicy?timespan=all/?timespan=90d
Simple,Wolves Esports,https://www.vlr.gg/player/45105/simple?timespan=all,https://www.vlr.gg/player/45105/simple?timespan=all/?timespan=90d
ValdyN,Alter Ego,https://www.vlr.gg/player/7807/valdyn?timespan=all,https://www.vlr.gg/player/7807/valdyn?timespan=all/?timespan=90d
Nakya,Alter Ego,https://www.vlr.gg/player/16852/nakya?timespan=all,https://www.vlr.gg/player/16852/nakya?timespan=all/?timespan=90d
Cud,Alter Ego,https://www.vlr.gg/player/2346/cud?timespan=all,https://www.vlr.gg/player/2346/cud?timespan=all/?timespan=90d
ray4c,Alter Ego,https://www.vlr.gg/player/11666/ray4c?timespan=all,https://www.vlr.gg/player/11666/ray4c?timespan=all/?timespan=90d
gotten,Alter Ego,https://www.vlr.gg/player/23710/gotten?timespan=all,https://www.vlr.gg/player/23710/gotten?timespan=all/?timespan=90d
Whyphy,Alter Ego,https://www.vlr.gg/player/9772/whyphy?timespan=all,https://www.vlr.gg/player/9772/whyphy?timespan=all/?timespan=90d
roseau,Alter Ego,https://www.vlr.gg/player/1742/asteriskk?timespan=all,https://www.vlr.gg/player/1742/asteriskk?timespan=all/?timespan=90d
