Player,Team,Player_Strength,Total_Rounds_Played
waddle,DNSTY,81.49,8488.0
Leviathan,FULL SENSE,81.46,4890.0
maniek,Pixel Lumina,81.44,8869.0
Caedye,RIDDLE ORDER,81.42,1445.0
Mickebwoy,Axolotl,81.41,5766.0
chiwa,BBL Esports,81.4,9181.0
Dinxx,West Virginia University,81.38,8351.0
zeddy,KPI Gaming,81.38,11377.0
hoody,FOKUS,81.37,8484.0
sogo,Fisher Navy,81.35,9453.0
coconut,Xi Lai Gaming,81.34,3995.0
SoTired,F4TALITY,81.32,948.0
Leosen,Eintracht Frankfurt,81.32,7110.0
Hansia,Original Gaming,81.29,2176.0
Truth,St. Clair Saints,81.27,8469.0
Harmii,Team Liquid,81.27,351.0
mili,Refrag,81.26,7284.0
Twirly,Purr-fectionists,81.26,2671.0
シガレット,APAY Academy,81.26,47.0
Scottie,Overtake,81.25,7622.0
Kamisseq,NOVO Esports,81.25,5380.0
blowz,LEVIATÁN Academy,81.24,2079.0
MONSTEERR,KOI Fénix,81.23,6019.0
qw1,Galakticos,81.23,7577.0
FirstLove,Himothys,81.22,4904.0
moobs,Winthrop University,81.22,5892.0
paTiTek,Team Liquid,81.21,10306.0
Smoggy,EDward Gaming,81.19,8813.0
golack,Coalesce,81.16,1385.0
Zellsis,Sentinels,81.15,10325.0
Srx,Onyx Ravens,81.13,4227.0
eKo,NOEZ FOXX,81.12,4603.0
Wolfen,CGN Esports,81.1,5288.0
free1ng,DRX,81.06,2607.0
biazik,KRÜ BLAZE,81.05,7197.0
Hyperzxz,Siko,81.04,7628.0
Rarga,Xi Lai Gaming,81.02,3288.0
Paincakes,Shopify Rebellion Black,81.01,15632.0
mimi,G2 Gozen,80.98,6999.0
Tvnaso,Dolphins Gaming,80.97,402.0
marin,REVE RISE MAX,80.93,4845.0
moefcute,LAZY,80.92,5153.0
pompZ,Chivas Esports,80.91,1487.0
Akame,DetonatioN FocusMe,80.91,3814.0
RetrQ,Burger Boyz,80.91,28562.0
KING VINNY,Green Grapes,80.91,8935.0
alyaL,Team Flash,80.9,6363.0
Tuli,9z Team,80.9,4398.0
ip0TT,Papara SuperMassive,80.89,6102.0
WerlasS,Galatasaray Esports,80.89,4797.0
Miyori,HEROIC Valkyries,80.88,4733.0
lowel,Barça eSports,80.86,5438.0
amy,G2 Gozen,80.86,5744.0
Venka,Orangutan,80.82,3493.0
YOU,Xi Lai Gaming,80.81,6756.0
Chadi,Ramboot Club,80.81,8283.0
thyy,TALON Academy,80.77,206.0
Rossi,Exsto Gaming,80.76,1586.0
frutta,Scarlet Knights Black,80.76,2235.0
thooOOM,TeamOrangeGaming,80.75,2840.0
ACHRF,Onyx Ravens,80.75,7258.0
Mundy,club penguin,80.75,868.0
Paradox,Level 5,80.74,9429.0
SpYzera,The Ultimates,80.74,11787.0
bruninej,Agropesca Jacare,80.73,2855.0
MiniBoo,Team Heretics,80.72,6503.0
jkuro,JDG Esports,80.7,3176.0
nixx,Vulcan Rising,80.7,2274.0
zhen,S2 Esports,80.7,1862.0
NT2k,Unicorn Cyber Da Nang,80.69,5964.0
Karon,Gen.G,80.67,3526.0
Zauqk,Next Gen,80.64,4225.0
fishball,Todak,80.64,2574.0
Jww,101 Outlaws,80.62,609.0
Blahst,Funhavers,80.61,21076.0
kaua,ZETA DIVISION Academy,80.59,455.0
Ange,Maryville University,80.59,16675.0
zMART,Onyx Ravens,80.57,5823.0
