Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
sakura,BC SWELL,0.969,199.772,1.005,130.564,0.695,0.714,0.221,0.09,0.106,1314.0,https://www.vlr.gg/player/25279/sakura?timespan=all,0.955,0.84
Jerry,BC SWELL,0.986,199.546,1.0,136.494,0.731,0.733,0.18,0.092,0.094,375.0,https://www.vlr.gg/player/46355/jerry?timespan=all,0.955,0.84
Jinbey,BC SWELL,0.974,212.136,0.981,138.829,0.708,0.738,0.242,0.142,0.158,473.0,https://www.vlr.gg/player/43072/jinbey?timespan=all,0.955,0.84
Lefiedot,ZETA DIVISION Academy,0.913,189.287,0.882,132.866,0.668,0.642,0.289,0.1,0.124,311.0,https://www.vlr.gg/player/43054/lefiedot?timespan=all,0.82,0.82
kaua,ZETA DIVISION Academy,1.098,212.027,1.053,135.532,0.726,0.73,0.367,0.091,0.09,455.0,https://www.vlr.gg/player/27592/kaua?timespan=all,0.955,0.84
HoneyBunny,ZETA DIVISION Academy,0.775,202.194,0.783,122.143,0.563,0.686,0.122,0.169,0.157,108.0,https://www.vlr.gg/player/49906/honeybunny?timespan=all,0.82,0.82
Solluzy,ZETA DIVISION Academy,0.987,215.272,1.017,137.504,0.664,0.747,0.168,0.17,0.12,309.0,https://www.vlr.gg/player/34753/solluzy?timespan=all,0.82,0.82
KillAA,ZETA DIVISION Academy,0.918,211.056,0.894,133.017,0.657,0.728,0.231,0.162,0.135,489.0,https://www.vlr.gg/player/40738/killaa?timespan=all,0.955,0.84
kreamer,ZETA DIVISION Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/705/kreamer?timespan=all,1.0,1.0
Laser,Jester Circus,1.01,211.128,0.897,145.174,0.769,0.72,0.459,0.103,0.103,39.0,https://www.vlr.gg/player/49975/laser?timespan=all,0.82,0.82
bluexuan,Jester Circus,1.252,274.59,1.307,182.149,0.639,0.951,0.156,0.233,0.184,39.0,https://www.vlr.gg/player/49976/bluexuan?timespan=all,0.82,0.82
BengYan,Jester Circus,0.571,110.333,0.442,77.354,0.669,0.336,0.259,0.0,0.051,39.0,https://www.vlr.gg/player/49977/bengyan?timespan=all,0.82,0.82
1 miss her,Jester Circus,0.783,183.462,0.795,127.323,0.669,0.617,0.105,0.077,0.107,39.0,https://www.vlr.gg/player/49978/1-miss-her?timespan=all,0.82,0.82
vulgar,Jester Circus,0.755,157.897,0.578,108.021,0.792,0.462,0.461,0.103,0.054,39.0,https://www.vlr.gg/player/49979/vulgar?timespan=all,0.82,0.82
mindfreak,Paper Rex,1.012,182.843,1.056,117.276,0.74,0.662,0.306,0.06,0.066,10123.0,https://www.vlr.gg/player/9800/mindfreak?timespan=all,0.998,0.998
Jinggg,Paper Rex,1.126,252.639,1.206,162.041,0.735,0.864,0.249,0.148,0.115,8598.0,https://www.vlr.gg/player/7378/jinggg?timespan=all,0.99,0.998
f0rsakeN,Paper Rex,1.13,247.201,1.209,157.603,0.741,0.862,0.275,0.163,0.131,10340.0,https://www.vlr.gg/player/9801/f0rsaken?timespan=all,0.99,0.998
d4v41,Paper Rex,1.109,215.314,1.176,139.25,0.755,0.768,0.305,0.098,0.068,10135.0,https://www.vlr.gg/player/9803/d4v41?timespan=all,0.998,0.998
something,Paper Rex,1.214,245.557,1.285,158.422,0.744,0.871,0.208,0.186,0.129,5784.0,https://www.vlr.gg/player/17086/something?timespan=all,0.985,0.985
JdFaker,Paper Rex,1.037,187.021,1.0,119.389,0.762,0.643,0.338,0.058,0.055,4723.0,https://www.vlr.gg/player/2364/jdfaker?timespan=all,0.994,0.978
alecks,Paper Rex,0.791,176.564,0.848,116.209,0.693,0.593,0.265,0.075,0.106,133.0,https://www.vlr.gg/player/9804/alecks?timespan=all,0.82,0.82
jay,First Round Out,1.109,226.833,1.173,149.241,0.747,0.811,0.247,0.114,0.115,372.0,https://www.vlr.gg/player/48377/jay?timespan=all,0.82,0.82
Coldan,Team Coldan,0.72,116.3,0.54,78.6,0.69,0.35,0.6,0.03,0.06,78.0,https://www.vlr.gg/player/50041/coldan?timespan=all,0.82,0.82
bryce,First Round Out,1.065,202.425,1.128,132.05,0.729,0.726,0.255,0.083,0.08,5587.0,https://www.vlr.gg/player/7418/bryce?timespan=all,0.985,0.869
